web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1680016205-128","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","11:30","Parcialmente cubierto","21°","35 km/h","49%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-129","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","12:00","Parcialmente cubierto","21°","26 > 44 km/h","56%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-130","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","12:30","Parcialmente cubierto","21°","32 km/h","56%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-131","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","13:00","Parcialmente cubierto","20°","20 km/h","68%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-132","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","13:30","Parcialmente cubierto","21°","32 km/h","53%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-133","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","14:00","Parcialmente cubierto","21°","33 km/h","53%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-134","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","14:30","Parcialmente cubierto","22°","32 km/h","50%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-135","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","15:00","Parcialmente cubierto","22°","26 km/h","57%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-136","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","15:30","Parcialmente cubierto","22°","24 km/h","53%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-137","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","16:00","Parcialmente cubierto","21°","28 km/h","56%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-138","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","16:30","Parcialmente cubierto","20°","26 km/h","60%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-139","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","17:00","Nubes dispersas","21°","24 km/h","49%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-140","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","17:30","Nubes dispersas","20°","22 km/h","53%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-141","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","18:00","Nubes dispersas","20°","22 km/h","53%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-142","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","18:30","Nubes dispersas","19°","17 km/h","56%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-143","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","19:00","Nubes dispersas","19°","13 km/h","56%","1018 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-144","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","19:30","Nubes dispersas","19°","13 km/h","56%","1018 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-145","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","20:00","Nubes dispersas","18°","15 km/h","64%","1018 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-146","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","20:30","Nubes dispersas","18°","15 km/h","59%","1018 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-147","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","21:00","Nubes dispersas","18°","19 km/h","59%","1019 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-148","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","21:30","Nubes dispersas","19°","15 km/h","56%","1019 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-149","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","22:00","Parcialmente cubierto","19°","17 km/h","60%","1019 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-150","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","22:30","Nubes dispersas","18°","13 km/h","64%","1019 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-151","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","23:00","Mayormente cubierto","19°","13 km/h","60%","1019 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-152","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","23:30","Nubes dispersas","18°","15 km/h","64%","1020 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016208-153","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 4 Diciembre 2019","00:00","Parcialmente cubierto","18°","15 km/h","68%","1019 hPa","https://www.tutiempo.net/registros/gclp/4-diciembre-2019.html"
"1680016208-154","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 4 Diciembre 2019","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/4-diciembre-2019.html"
"1680016208-155","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 4 Diciembre 2019","00:30","Nubes dispersas","18°","13 km/h","64%","1019 hPa","https://www.tutiempo.net/registros/gclp/4-diciembre-2019.html"
"1680016208-156","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 4 Diciembre 2019","01:00","Nubes dispersas","18°","11 km/h","64%","1019 hPa","https://www.tutiempo.net/registros/gclp/4-diciembre-2019.html"
"1680016208-157","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 4 Diciembre 2019","01:30","Mayormente cubierto","18°","11 km/h","64%","1019 hPa","https://www.tutiempo.net/registros/gclp/4-diciembre-2019.html"
"1680016208-158","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 4 Diciembre 2019","02:00","Mayormente cubierto","19°","13 km/h","60%","1019 hPa","https://www.tutiempo.net/registros/gclp/4-diciembre-2019.html"
"1680016208-159","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 4 Diciembre 2019","02:30","Parcialmente cubierto","18°","13 km/h","64%","1019 hPa","https://www.tutiempo.net/registros/gclp/4-diciembre-2019.html"
"1680016208-160","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 4 Diciembre 2019","03:00","Nubes dispersas","17°","13 km/h","68%","1018 hPa","https://www.tutiempo.net/registros/gclp/4-diciembre-2019.html"
"1680016208-161","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 4 Diciembre 2019","03:30","Parcialmente cubierto","18°","13 km/h","64%","1018 hPa","https://www.tutiempo.net/registros/gclp/4-diciembre-2019.html"
"1680016208-162","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 4 Diciembre 2019","04:00","Parcialmente cubierto","17°","13 km/h","68%","1018 hPa","https://www.tutiempo.net/registros/gclp/4-diciembre-2019.html"
"1680016208-163","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 4 Diciembre 2019","04:30","Parcialmente cubierto","18°","11 km/h","64%","1018 hPa","https://www.tutiempo.net/registros/gclp/4-diciembre-2019.html"
"1680016208-164","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 4 Diciembre 2019","05:00","Mayormente cubierto","18°","11 km/h","59%","1018 hPa","https://www.tutiempo.net/registros/gclp/4-diciembre-2019.html"
"1680016208-165","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 4 Diciembre 2019","05:30","Mayormente cubierto","18°","9 km/h","64%","1018 hPa","https://www.tutiempo.net/registros/gclp/4-diciembre-2019.html"
