web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1680016202-73","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","11:00","Mayormente cubierto","21°","26 km/h","69%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-74","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","11:30","Mayormente cubierto","21°","26 > 46 km/h","64%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-75","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","12:00","Mayormente cubierto","22°","35 km/h","57%","1017 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-76","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","12:30","Parcialmente cubierto","23°","32 km/h","57%","1017 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-77","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","13:00","Parcialmente cubierto","23°","35 km/h","53%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-78","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","13:30","Nubes dispersas","23°","37 km/h","50%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-79","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","14:00","Nubes dispersas","22°","37 km/h","53%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-80","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","14:30","Parcialmente cubierto","22°","35 km/h","53%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-81","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","15:00","Parcialmente cubierto","22°","28 km/h","50%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-82","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","15:30","Parcialmente cubierto","22°","30 km/h","50%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-83","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","16:00","Parcialmente cubierto","22°","26 km/h","50%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-84","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","16:30","Parcialmente cubierto","21°","28 km/h","53%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-85","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","17:00","Parcialmente cubierto","21°","15 km/h","56%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-86","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","17:30","Nubes dispersas","21°","24 km/h","64%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-87","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","18:00","Nubes dispersas","20°","26 km/h","64%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-88","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","18:30","Parcialmente cubierto","20°","32 km/h","64%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-89","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","19:00","Parcialmente cubierto","19°","30 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-90","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","19:30","Lluvia ligera","18°","30 km/h","83%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-91","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","20:00","Parcialmente cubierto","18°","19 km/h","83%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-92","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","20:30","Lluvia ligera","18°","22 km/h","77%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-93","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","20:40","Lluvia","18°","22 km/h","83%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-94","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","21:00","Lluvia","17°","15 km/h","88%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-95","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","21:30","Mayormente cubierto","17°","20 km/h","82%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-96","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","21:45","Lluvia","18°","24 km/h","77%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-97","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","22:00","Lluvia","18°","19 km/h","77%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-98","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","22:30","Lluvia","17°","19 km/h","88%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-99","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","23:00","Mayormente cubierto","18°","15 km/h","83%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016202-100","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","23:30","Lluvia ligera","18°","20 km/h","77%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1680016205-101","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","00:00","Mayormente cubierto","17°","19 km/h","82%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-102","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-103","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","00:10","Lluvia","18°","19 km/h","77%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1680016205-104","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","00:30","Lluvia","17°","17 km/h","82%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
